code,name,population,pop_male,pop_female,households
412015,佐賀市,236372,111453,124919,93306
412023,唐津市,122785,57547,65238,43872
412031,鳥栖市,72902,34799,38103,27630
412040,多久市,19749,9146,10603,6847
412058,伊万里市,55238,26395,28843,19698
412066,武雄市,49062,23178,25884,16932
412074,鹿島市,29684,13920,15764,10124
412082,小城市,44259,20823,23436,14769
412091,嬉野市,27336,12667,14669,9214
412104,神埼市,31842,15172,16670,10913
413275,吉野ヶ里町,16411,8136,8275,5891
413411,基山町,17501,8266,9235,6321
413453,上峰町,9283,4379,4904,3260
413461,みやき町,25278,11969,13309,8638
413879,玄海町,5902,3035,2867,1918
414018,有田町,20148,9356,10792,6900
414239,大町町,6777,3077,3700,2560
414247,江北町,9583,4497,5086,3225
414255,白石町,23941,11133,12808,7253
414417,太良町,8779,4125,4654,2838
